Carimbo de data/hora,1. Qual sua faixa etária?,2. Você tem cachorro(s)?,3. Quantos cachorros você tem?,4. Qual o porte do(s) seu(s) cachorro(s)?,5. Com que frequência você sente dificuldade para levar seu cachorro para passear?,6. Quais são os principais motivos que dificultam os passeios?,7. Você já contratou um passeador de cachorro?,8. Quais problemas você enfrentou ou teme enfrentar ao contratar um passeador?,"9. Se existisse um app para contratar passeadores verificados, com rastreamento em tempo real e avaliações, você usaria?",10. Quanto você estaria disposto(a) a pagar por um passeio de 60 minutos?,11. Quais funcionalidades seriam indispensáveis para você?,12. O que te daria mais confiança para usar o serviço?
07/04/2026 12:35:58,18–24 anos,Sim,1,Médio (10–25kg),1,"Quando há algum problema, geralmente é o choque de horário com outros compromissos.","Não, nunca contratei",Preço elevado,2,Até R$30,"Fotos/vídeos durante o passeio, Histórico de passeios, Chat com o passeador, Avaliações e reputação do passeador",
07/04/2026 13:23:15,45 anos ou mais,Sim,1,Médio (10–25kg),4,Falta de tempo e pq ele é  muito mal educado  kk,"Não, nunca contratei",,3,R$31 – R$50,"Fotos/vídeos durante o passeio, Histórico de passeios, Pagamento pelo app, Perfil detalhado do passeador (certificados, experiência)",Indicação 
07/04/2026 13:23:39,45 anos ou mais,Sim,1,Médio (10–25kg),4,Ela não quer voltar p casa  fica parada,"Não, nunca contratei",Preço elevado,5,R$51 – R$80,Fotos/vídeos durante o passeio,Saber que tem alguém com treinamento  específico p isso
07/04/2026 13:23:43,45 anos ou mais,Sim,4 ou mais,"Pequeno (até 10kg), Médio (10–25kg), Grande (acima de 25kg)",4,Tempo de sair com os 5 ,"Não, nunca contratei",Financiero e pessoas não conheço ,5,Até R$30,"Rastreamento GPS em tempo real, Fotos/vídeos durante o passeio, Histórico de passeios, Chat com o passeador, Avaliações e reputação do passeador, Pagamento pelo app, Perfil detalhado do passeador (certificados, experiência)","Pessoas confiáveis, com ficha criminal limpa "
07/04/2026 13:46:36,45 anos ou mais,Sim,2,Pequeno (até 10kg),2,Tempo,"Não, nunca contratei","Falta de confiança na pessoa, Preço elevado, Não saber a qualidade do serviço, Falta de seguro ou garantia em caso de acidente",5,R$31 – R$50,"Rastreamento GPS em tempo real, Fotos/vídeos durante o passeio, Histórico de passeios, Chat com o passeador, Avaliações e reputação do passeador, Pagamento pelo app, Perfil detalhado do passeador (certificados, experiência)","Certificado do treinador, rastreamento "
07/04/2026 14:10:30,18–24 anos,Sim,1,Médio (10–25kg),3,Ele é muito agitado,"Não, nunca contratei","Falta de confiança na pessoa, Não saber a qualidade do serviço, Falta de seguro ou garantia em caso de acidente",5,R$31 – R$50,"Rastreamento GPS em tempo real, Fotos/vídeos durante o passeio, Pagamento pelo app","Foto da pessoa que passearia com ele, quantos passeios ja fez, avaliaçoes de outras pessoas "
07/04/2026 14:23:08,18–24 anos,Sim,4 ou mais,Médio (10–25kg),3,Falta de temoo,"Não, nunca contratei","Falta de confiança na pessoa, Falta de seguro ou garantia em caso de acidente",4,Até R$30,"Rastreamento GPS em tempo real, Fotos/vídeos durante o passeio, Histórico de passeios, Chat com o passeador, Avaliações e reputação do passeador, Pagamento pelo app, Perfil detalhado do passeador (certificados, experiência)",
07/04/2026 15:13:57,18–24 anos,Sim,3,"Pequeno (até 10kg), Médio (10–25kg)",3,Tempo ,"Não, nunca contratei","Falta de confiança na pessoa, Preço elevado",5,Até R$30,"Rastreamento GPS em tempo real, Histórico de passeios, Chat com o passeador, Avaliações e reputação do passeador, Perfil detalhado do passeador (certificados, experiência)",Avaliação do aplicativo e passeador
07/04/2026 15:32:31,45 anos ou mais,Sim,2,Médio (10–25kg),2,Tempo ,"Não, nunca contratei",Preço elevado,2,Até R$30,"Perfil detalhado do passeador (certificados, experiência)",Conhecer a pessoa que está com meu pet . 
07/04/2026 15:52:30,45 anos ou mais,Sim,4 ou mais,Grande (acima de 25kg),5,Falta de educação e receio,"Não, nunca contratei",Dificuldade em encontrar alguém disponível,5,Mais de R$80,"Rastreamento GPS em tempo real, Fotos/vídeos durante o passeio, Avaliações e reputação do passeador",GPS e fotos
07/04/2026 19:49:36,45 anos ou mais,Sim,4 ou mais,Grande (acima de 25kg),5,Falta de tempo,"Não, nunca contratei",Sâo câes bravos,5,R$51 – R$80,"Rastreamento GPS em tempo real, Chat com o passeador, Avaliações e reputação do passeador, Pagamento pelo app, Perfil detalhado do passeador (certificados, experiência)",As alternativas marcadas na questão 11
08/04/2026 19:44:55,25–34 anos,Sim,2,"Pequeno (até 10kg), Grande (acima de 25kg)",4,Falta de tempo e cansaço,"Não, nunca contratei",Nunca fui atras,3,Até R$30,"Histórico de passeios, Chat com o passeador, Avaliações e reputação do passeador, Pagamento pelo app, Perfil detalhado do passeador (certificados, experiência)",As credenciais do passeador
08/04/2026 20:24:48,25–34 anos,Sim,1,Pequeno (até 10kg),5,Preguiça  ,"Não, nunca contratei","Preço elevado, Não saber a qualidade do serviço, Dificuldade em encontrar alguém disponível",3,Até R$30,"Rastreamento GPS em tempo real, Fotos/vídeos durante o passeio, Histórico de passeios, Chat com o passeador, Avaliações e reputação do passeador, Pagamento pelo app, Perfil detalhado do passeador (certificados, experiência)",
